name,manufacturer,type,image,checklist category,phase,item,expectedState,notes
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),AUX FUEL PUMP,Check on,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),FUEL PRESS LOW,Check off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Altitude,20 000’ maximum,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Starter switch,Start,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),IGNITION ON,Check on,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Engine oil pressure,Check,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),N,12% minimum,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Fuel condition lever,Low idle,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),ITT,Monitor 1090°C max.,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),N,52% minimum,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Starter switch,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Ignition,"On if required (rain, low fuel)",
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Fuel boost pump,"Normal, or On if cycling",
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Fuel condition lever,High idle,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Propeller control,As desired,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Power lever,As desired,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Electrical equipment and avionics,As required,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Generator switch,Trip and release,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Standby power,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Avionics power,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Air conditioner,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Bleed air heat,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Emergency power lever,Normal,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Power lever,Idle,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Propeller,Min. rpm,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Fuel shutoff,On (push in),
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Fuel tank selectors,"L on, R on",
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Battery switch,On,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Fuel boost switch,On,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),AUX FUEL PUMP,Check on,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),FUEL PRESS LOW,Check off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Ignition switch,On,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Airspeed,100 KIAS minimum (140 if feathered),
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Altitude,20 000’ maximum (15 000’ if feathered),
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),N indicator,Check stable and non-zero,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Fuel condition lever,Low idle,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),ITT,Monitor 1090°C max.,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),N,52% minimum,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Ignition,"On if required (rain, low fuel)",
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Fuel boost,"Normal, or On if cycling",
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Fuel condition lever,High idle,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Propeller control,As desired,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Power lever,As desired,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Generator,Reset and release,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Windmilling),Electrical equipment and avionics,As required,
C208B Sample,Unknown,GA,,Abnormal Checklist,Asymmetric Flap,Aileron,Apply to stop the roll,
C208B Sample,Unknown,GA,,Abnormal Checklist,Asymmetric Flap,Flap selector,Up,
C208B Sample,Unknown,GA,,Abnormal Checklist,Asymmetric Flap,Airspeed,Slow to 100 KIAS or less,
C208B Sample,Unknown,GA,,Abnormal Checklist,Asymmetric Flap,If flaps retract symmetrically,Flapless landing,
C208B Sample,Unknown,GA,,Abnormal Checklist,Flaps Fail To Extend Or Retract,Flap Motor/Standby Flap Motor CBs,Check in,
C208B Sample,Unknown,GA,,Abnormal Checklist,Flaps Fail To Extend Or Retract,Standby switch,Standby,
C208B Sample,Unknown,GA,,Abnormal Checklist,Flaps Fail To Extend Or Retract,Standby flap up/down,As required,
C208B Sample,Unknown,GA,,Abnormal Checklist,Landing With Flat Main Tyre,Fuel,Fly to lighten load on flat side,
C208B Sample,Unknown,GA,,Abnormal Checklist,Landing With Flat Main Tyre,Approach,Normal (full flap),
C208B Sample,Unknown,GA,,Abnormal Checklist,Landing With Flat Main Tyre,Touchdown,Inflated tyre first,
C208B Sample,Unknown,GA,,Abnormal Checklist,Landing With Flat Nosewheel Tyre,Passengers and baggage,Move aft if possible,
C208B Sample,Unknown,GA,,Abnormal Checklist,Landing With Flat Nosewheel Tyre,Approach,Normal (full flap),
C208B Sample,Unknown,GA,,Abnormal Checklist,Landing With Flat Nosewheel Tyre,Touchdown,Nose high,
C208B Sample,Unknown,GA,,Abnormal Checklist,Landing With Flat Nosewheel Tyre,Brakes,Minimum necessary,
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Battery,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Ammeter,Check in BATT position,
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Generator,Trip and release,
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Standby power,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),All electrical switches,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Bus 1 Pwr/Bus 2 Pwr CBs,Pull off (6!),
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Avionics switches,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Standby power,On,
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Avionics standby power,"Lift guard, on",
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Avionics bus tie,"Lift guard, on",
C208B Sample,Unknown,GA,,Abnormal Checklist,Battery Temperature High (Amber),Reinstate essential circuits,Monitor load,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Voltmeter,Check (annunciator failure?),
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Bus 1/Bus 2 CBs,"Check, do not reset!",
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Volt/ammeter,Gen (monitor ammeter),
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,GEN CONT/GEN FIELD CBs,In,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Generator,Reset and release,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Generator,Trip,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Electrical load,Reduce,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Avionics 2,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Flashing beacon,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Strobes,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,De-icing,Off (keep 1 pitot!),
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Vent fans,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Air cond.,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,GEN CONT/GEN FIELD,Pull,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,AP CONT or AP FD,Pull,
